timestamp,split_ratio
1980-10-27T05:00:00Z,1.05
1981-03-23T05:00:00Z,1.5
1981-08-17T04:00:00Z,1.05
1982-08-17T04:00:00Z,1.05
1983-08-16T04:00:00Z,1.05
1984-08-14T04:00:00Z,1.05
1985-08-13T04:00:00Z,1.05
1986-06-03T04:00:00Z,1.5
1986-08-12T04:00:00Z,1.05
1987-08-11T04:00:00Z,1.05
1988-08-16T04:00:00Z,1.05
1989-08-22T04:00:00Z,1.05
1989-12-05T05:00:00Z,1.5
1990-08-14T04:00:00Z,1.05
1991-08-13T04:00:00Z,1.05
1992-08-11T04:00:00Z,1.05
1993-08-17T04:00:00Z,1.05
1994-08-16T04:00:00Z,1.05
1994-12-06T05:00:00Z,1.5
1995-08-17T04:00:00Z,1.05
1996-08-15T04:00:00Z,1.05
1997-08-14T04:00:00Z,1.05
1998-08-20T04:00:00Z,1.05
1999-08-19T04:00:00Z,1.05
2000-08-24T04:00:00Z,1.05
2001-08-30T04:00:00Z,1.05
