timestamp,split_ratio
1992-06-16T04:00:00Z,2.0
1995-06-09T04:00:00Z,2.5
1998-05-26T04:00:00Z,2.0
2000-05-30T04:00:00Z,2.0
2003-04-17T04:00:00Z,1.04
